start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33,spun,s0,s1,s2,s3,p0,p1,p2,p3,unknown_percentage
155,855,5130,629,0.735672515,4449,0.867251462,720,0.842105263,4810,0.937621832,3857,119,0,0,187,571,6,2,1,5,15,0,0,0,0,6,361,0.970070423,0.745430809,0.714285714,1,0.953522868,0.821582734,0.714285714,0.75,0.07037037
200,855,5130,635,0.742690058,4427,0.862962963,727,0.850292398,4835,0.942495127,3834,99,0,0,184,575,0,2,1,9,12,0,0,0,0,6,408,0.974828375,0.755584757,0.545454545,1,0.953968649,0.841874085,1,0.75,0.079532164
205,855,5130,626,0.732163743,4356,0.849122807,718,0.839766082,4812,0.938011696,3754,122,0,0,182,584,0,2,1,11,12,0,0,0,0,6,456,0.968524252,0.760416667,0.5,1,0.953517907,0.814504881,1,0.75,0.088888889
210,855,5130,634,0.741520468,4338,0.845614035,728,0.851461988,4842,0.943859649,3717,117,2,0,156,602,0,0,2,11,13,0,0,0,0,6,504,0.968978102,0.794195251,0.5,1,0.959225806,0.824657534,0.866666667,1,0.098245614
215,855,5130,619,0.723976608,4250,0.828460039,712,0.832748538,4802,0.936062378,3652,97,0,0,211,579,2,0,2,16,13,0,0,0,0,6,552,0.974126434,0.731060606,0.419354839,1,0.944890039,0.836705202,0.866666667,1,0.107602339
220,855,5130,614,0.718128655,4221,0.822807018,712,0.832748538,4813,0.938206628,3598,109,1,0,185,601,2,0,4,16,16,0,0,0,0,6,592,0.970334412,0.762690355,0.444444444,1,0.950092421,0.827823691,0.842105263,1,0.11539961
225,855,5130,608,0.711111111,4190,0.816764133,706,0.825730994,4783,0.932358674,3586,122,0,0,196,586,3,0,4,22,12,0,0,0,0,6,593,0.967098166,0.746496815,0.315789474,1,0.947173798,0.802739726,0.8,1,0.115594542
230,855,5130,619,0.723976608,4223,0.823196881,718,0.839766082,4817,0.938986355,3593,99,0,0,185,608,2,0,8,19,16,0,0,0,0,6,594,0.973185265,0.764779874,0.372093023,1,0.949022715,0.837465565,0.888888889,1,0.115789474
235,855,5130,619,0.723976608,4230,0.824561404,718,0.839766082,4825,0.940545809,3601,104,0,0,169,609,3,0,6,23,14,0,0,0,0,6,595,0.971929825,0.779769526,0.325581395,1,0.953654661,0.827445652,0.823529412,1,0.115984405
240,855,5130,618,0.722807018,4234,0.825341131,717,0.838596491,4830,0.941520468,3605,90,4,0,178,605,7,0,6,15,18,0,0,0,0,6,596,0.974587726,0.765822785,0.461538462,1,0.951438374,0.852112676,0.620689655,1,0.116179337
245,855,5130,614,0.718128655,4186,0.815984405,713,0.833918129,4782,0.932163743,3551,159,0,0,166,613,3,0,4,16,16,0,0,0,0,6,596,0.957142857,0.783887468,0.444444444,1,0.954313357,0.777918782,0.842105263,1,0.116179337
250,855,5130,626,0.732163743,4259,0.830214425,725,0.847953216,4855,0.946393762,3633,83,0,0,173,600,7,0,3,9,20,0,0,0,0,6,596,0.977664155,0.769230769,0.625,1,0.953793647,0.867052023,0.740740741,1,0.116179337
255,855,5130,629,0.735672515,4277,0.833723197,727,0.850292398,4872,0.949707602,3636,74,8,1,168,610,2,0,0,5,25,0,0,0,0,6,595,0.977682173,0.782051282,0.833333333,1,0.955835962,0.885341074,0.714285714,0.857142857,0.115984405
300,855,5130,619,0.723976608,4249,0.828265107,674,0.788304094,4800,0.935672515,3626,80,12,42,176,599,8,3,3,6,18,0,0,0,0,6,551,0.964361702,0.762086514,0.666666667,1,0.952956636,0.874452555,0.473684211,0.117647059,0.107407407
305,855,5130,613,0.716959064,4238,0.826120858,667,0.780116959,4744,0.924756335,3610,106,0,87,171,605,5,7,3,7,17,0,0,0,0,6,506,0.949250592,0.767766497,0.62962963,1,0.954016913,0.842618384,0.772727273,0.06,0.098635478
310,855,5130,616,0.720467836,4251,0.828654971,666,0.778947368,4709,0.917933723,3627,98,0,132,166,599,6,10,4,5,19,0,0,0,0,6,458,0.940368162,0.766965429,0.678571429,1,0.955227811,0.853276353,0.76,0.040540541,0.089278752
315,855,5130,617,0.721637427,4258,0.830019493,667,0.780116959,4668,0.90994152,3640,100,0,175,162,597,5,9,4,7,15,0,0,0,0,6,410,0.929757344,0.772315653,0.576923077,1,0.956384656,0.848011364,0.75,0.031578947,0.079922027
320,855,5130,621,0.726315789,4274,0.833138402,671,0.784795322,4636,0.903703704,3651,87,0,222,158,603,4,10,6,7,14,0,0,0,0,6,362,0.921969697,0.778064516,0.518518519,1,0.957011796,0.865136298,0.777777778,0.025210084,0.070565302
325,855,5130,623,0.728654971,4271,0.832553606,673,0.787134503,4586,0.893957115,3643,107,0,262,143,608,8,11,3,10,14,0,0,0,0,6,315,0.908025922,0.78961039,0.518518519,1,0.961467406,0.83862069,0.636363636,0.021505376,0.061403509
330,855,5130,626,0.732163743,4328,0.843664717,677,0.791812865,4641,0.904678363,3736,275,0,26,173,572,0,0,1,14,14,0,0,0,0,6,313,0.925439683,0.767785235,0.482758621,1,0.955498721,0.664343786,1,0.1875,0.061013645
335,855,5130,636,0.743859649,4432,0.863937622,689,0.805847953,4742,0.924366472,3827,191,0,27,149,585,6,0,3,12,14,0,0,0,0,6,310,0.946106304,0.790540541,0.482758621,1,0.961799447,0.742385787,0.7,0.181818182,0.06042885
340,855,5130,675,0.789473684,4499,0.876998051,727,0.850292398,4809,0.937426901,3917,127,1,9,160,559,11,0,0,13,17,0,0,0,0,6,310,0.966206216,0.765753425,0.566666667,1,0.960755457,0.799713877,0.586206897,0.4,0.06042885
345,855,5130,681,0.796491228,4551,0.887134503,733,0.857309942,4861,0.947563353,3947,117,0,3,126,583,5,0,3,15,15,0,0,0,0,6,310,0.970494222,0.816526611,0.454545455,1,0.968351325,0.815384615,0.75,0.666666667,0.06042885
350,855,5130,690,0.807017544,4550,0.886939571,742,0.867836257,4862,0.947758285,3962,103,2,4,136,567,6,0,3,14,15,0,0,0,0,6,312,0.973225252,0.799717913,0.46875,1,0.966105828,0.828947368,0.652173913,0.6,0.060818713
355,855,5130,696,0.814035088,4549,0.886744639,749,0.876023392,4861,0.947563353,3974,99,0,2,149,551,1,1,5,12,18,0,0,0,0,6,312,0.975214724,0.784900285,0.514285714,1,0.962693798,0.832326284,0.947368421,0.666666667,0.060818713
400,855,5130,687,0.803508772,4535,0.884015595,738,0.863157895,4848,0.94502924,3962,107,0,7,148,553,3,1,5,11,14,0,0,0,0,6,313,0.972031403,0.784397163,0.466666667,1,0.962818955,0.82414307,0.823529412,0.428571429,0.061013645
405,855,5130,685,0.801169591,4544,0.885769981,737,0.861988304,4858,0.946978558,3981,98,0,5,148,543,4,1,2,14,14,0,0,0,0,6,314,0.974779628,0.780172414,0.466666667,1,0.963689179,0.829007634,0.777777778,0.5,0.061208577
410,855,5130,682,0.797660819,4559,0.888693957,734,0.858479532,4874,0.950097466,3999,86,0,6,148,536,7,0,4,4,18,0,1,0,0,6,315,0.977511611,0.77568741,0.692307692,0.857142857,0.963150289,0.856230032,0.72,0.5,0.061403509
415,855,5130,681,0.796491228,4525,0.882066277,732,0.856140351,4842,0.943859649,3969,121,0,4,149,532,7,0,0,5,18,0,2,0,0,6,317,0.969467513,0.773255814,0.782608696,0.75,0.963349515,0.808510638,0.72,0.6,0.061793372
420,855,5130,683,0.798830409,4515,0.880116959,734,0.858479532,4832,0.941910331,3965,129,0,12,136,531,5,4,0,9,13,0,3,0,0,6,317,0.96566001,0.785502959,0.590909091,0.666666667,0.966130604,0.793721973,0.722222222,0.272727273,0.061793372
